Code station,Nom station,,,Code ZAS,,,,,,,,,,Latitude,Longitude
FR10034,Grande-synthe,,,ATMO HAUTS DE FRANCE,,,,,,,,,,"51,02446","2,30215"
FR10041,St Omer Ribot,,,ATMO HAUTS DE FRANCE,,,,,,,,,,"50,74823","2,25978"
FR10132,Campagne les B.,,,ATMO HAUTS DE FRANCE,,,,,,,,,,"50,61048","1,99145"
FR11007,Lille Leeds,,,ATMO HAUTS DE FRANCE,,,,,,,,,,"50,6407944","3,074772"
FR11016,Marcq CTM,,,ATMO HAUTS DE FRANCE,,,,,,,,,,"50,67003","3,07656"
FR11025,Lille Fives,,,ATMO HAUTS DE FRANCE,,,,,,,,,,"50,62805","3,09031"
FR11026,Halluin stade,,,ATMO HAUTS DE FRANCE,,,,,,,,,,"50,775482","3,12568"
FR11034,Roubaix Serres,,,ATMO HAUTS DE FRANCE,,,,,,,,,,"50,706535","3,18066"
FR11114,Wattignies,,,ATMO HAUTS DE FRANCE,,,,,,,,,,"50,59774","3,04946"
FR12004,ECOLE M.JACQUIER,,,ATMO OCCITANIE,,,,,,,,,,"43,575558","1,418611"
FR12012,Faure,,,ATMO OCCITANIE,,,,,,,,,,"43,63611","1,431389"
FR12013,Ferry,,,ATMO OCCITANIE,,,,,,,,,,"43,63389","1,431108"
FR12015,MIRAMONT,,,ATMO OCCITANIE,,,,,,,,,,"43,09444","0,744722"
FR12016,DAURAT ST GAUDENS,,,ATMO OCCITANIE,,,,,,,,,,"43,106388","0,718889"
FR12020,PEYRUSSE,,,ATMO OCCITANIE,,,,,,,,,,"43,63028","0,179722"
FR12021,MAZADES,,,ATMO OCCITANIE,,,,,,,,,,"43,623615","1,438611"
FR12026,ALBI DELMAS,,,ATMO OCCITANIE,,,,,,,,,,"43,928055","2,146111"
FR12029,GAUDONVILLE,,,ATMO OCCITANIE,,,,,,,,,,"43,88361","0,845"
FR12030,BERTHELOT,,,ATMO OCCITANIE,,,,,,,,,,"43,58722","1,443889"
FR12031,BELESTA EN LAURAGAIS,,,ATMO OCCITANIE,,,,,,,,,,"43,44139","1,821944"
FR12038,BOULODROME,,,ATMO OCCITANIE,,,,,,,,,,"43,635834","1,429444"
FR12039,EISENHOWER,,,ATMO OCCITANIE,,,,,,,,,,"43,561581","1,39326"
FR12040,CHAPITRE,,,ATMO OCCITANIE,,,,,,,,,,"43,556946","1,406389"
FR12041,SICOVAL,,,ATMO OCCITANIE,,,,,,,,,,"43,457497","1,571111"
FR12042,LOURDES LAPACCA,,,ATMO OCCITANIE,,,,,,,,,,"43,096943","-0,038889"
FR12044,Aeroport cote trafic,,,ATMO OCCITANIE,,,,,,,,,,"43,634001","1,376"
FR12045,LOURDES PARADIS,,,ATMO OCCITANIE,,,,,,,,,,"43,094997","-0,051944"
FR12047,BESSIERES,,,ATMO OCCITANIE,,,,,,,,,,"43,80389","1,595833"
FR12050,VIVIEZ-Place du 8 Mai,,,ATMO OCCITANIE,,,,,,,,,,"44,56028","2,226111"
FR12052,Lycée Dupuy à Tarbes,,,ATMO OCCITANIE,,,,,,,,,,"43,230278","0,062222"
FR12053,Stade Travet CASTRES,,,ATMO OCCITANIE,,,,,,,,,,"43,610558","2,23"
FR12054,TRAFIC_TOULOUSE,,,ATMO OCCITANIE,,,,,,,,,,"43,643055","1,46765"
FR12085,Port de l Embouchure,,,ATMO OCCITANIE,,,,,,,,,,"43,610386","1,4152"
FR12095,Rodez,,,ATMO OCCITANIE,,,,,,,,,,"44,35699225","2,57070422"
FR14008,REVIN,,,ATMO GRAND EST,,,,,,,,,,"49,90778","4,63"
FR14010,BETHENY,,,ATMO GRAND EST,,,,,,,,,,"49,28222","4,051111"
FR14011,DOUMER,,,ATMO GRAND EST,,,,,,,,,,"49,250732","4,023064"
FR14012,Jean d Aulan,,,ATMO GRAND EST,,,,,,,,,,"49,224167","4,020556"
FR14022,CHALONS,,,ATMO GRAND EST,,,,,,,,,,"48,962223","4,36"
FR14028,Rempart Perrier,,,ATMO GRAND EST,,,,,,,,,,"49,0461","3,955911"
FR14029,Capitainerie,,,ATMO GRAND EST,,,,,,,,,,"48,7266","4,594781"
FR14031,LA TOUR,,,ATMO GRAND EST,,,,,,,,,,"48,301666","4,076944"
FR14032,ST PARRES AUX TERTRE,,,ATMO GRAND EST,,,,,,,,,,"48,299168","4,117222"
FR14033,STE SAVINE,,,ATMO GRAND EST,,,,,,,,,,"48,295002","4,050278"
FR14042,St DIZIER L. Michel,,,ATMO GRAND EST,,,,,,,,,,"48,645836","4,966111"
FR14048,HAP Bourbonne,,,ATMO GRAND EST,,,,,,,,,,"47,9542","5,7491"
FR14051,CHARLEVILLE,,,ATMO GRAND EST,,,,,,,,,,"49,745277","4,719167"
FR14801,Métaux BSN,,,ATMO GRAND EST,,,,,,,,,,"49,233612","4,056939"
FR15013,Champ sur Drac,,,ATMO AUVERGNE-RHÔNE-ALPES,,,,,,,,,,"45,07954","5,728653"
FR15018,Voiron Urbain,,,ATMO AUVERGNE-RHÔNE-ALPES,,,,,,,,,,"45,360176","5,589419"
FR15031,Le Casset2,,,ATMO AUVERGNE-RHÔNE-ALPES,,,,,,,,,,"44,997","6,4694"
FR15038,St Martin d'Heres,,,ATMO AUVERGNE-RHÔNE-ALPES,,,,,,,,,,"45,1828","5,7531"
FR15039,Le Rondeau,,,ATMO AUVERGNE-RHÔNE-ALPES,,,,,,,,,,"45,158363","5,703764"
FR15043,Grenoble Les Frenes,,,ATMO AUVERGNE-RHÔNE-ALPES,,,,,,,,,,"45,1619","5,7356"
FR15045,Grenoble PeriurbSud,,,ATMO AUVERGNE-RHÔNE-ALPES,,,,,,,,,,"45,0578","5,6767"
FR15046,Grenoble Boulevards,,,ATMO AUVERGNE-RHÔNE-ALPES,,,,,,,,,,"45,18069","5,720625"
FR15048,Gresivaudan Periurb,,,ATMO AUVERGNE-RHÔNE-ALPES,,,,,,,,,,"45,2797","5,8822"
FR16001,Strasbourg Ouest,,,ATMO GRAND EST,,,,,,,,,,"48,608818","7,708917"
FR16017,Nord-Est Alsace,,,ATMO GRAND EST,,,,,,,,,,"48,919357","8,158458"
FR16029,STG Nord,,,ATMO GRAND EST,,,,,,,,,,"48,610363","7,781631"
FR16031,Vosges du Nord,,,ATMO GRAND EST,,,,,,,,,,"48,85731","7,314175"
FR16034,STG Clemenceau,,,ATMO GRAND EST,,,,,,,,,,"48,59043","7,744983"
FR16038,Strasbourg Est,,,ATMO GRAND EST,,,,,,,,,,"48,570374","7,766331"
FR16040,Strasbourg A35,,,ATMO GRAND EST,,,,,,,,,,"48,575985","7,727478"
FR16041,Strasbourg Sud 2,,,ATMO GRAND EST,,,,,,,,,,"48,5157","7,687819"
FR16052,Thann,,,ATMO GRAND EST,,,,,,,,,,"47,810932","7,105553"
FR16054,Colmar Centre,,,ATMO GRAND EST,,,,,,,,,,"48,074642","7,350667"
FR16057,Mulhouse Nord,,,ATMO GRAND EST,,,,,,,,,,"47,757435","7,347294"
FR16059,Chalampé,,,ATMO GRAND EST,,,,,,,,,,"47,820248","7,538683"
FR16060,C.C.3 Frontières,,,ATMO GRAND EST,,,,,,,,,,"47,594913","7,568175"
FR16064,Colmar Sud,,,ATMO GRAND EST,,,,,,,,,,"48,065414","7,333139"
FR16065,Mulhouse Est,,,ATMO GRAND EST,,,,,,,,,,"47,723106","7,341603"
FR16066,Mulhouse Sud 2,,,ATMO GRAND EST,,,,,,,,,,"47,737415","7,309075"
FR16067,Vieux Thann 3,,,ATMO GRAND EST,,,,,,,,,,"47,80221","7,122844"
